:START_ID(KG),:END_ID(KG),:TYPE,id,relation,knowledge_level,agent_type,provided_by,source
ClinVar:VCV003063089,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000852,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003063080,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000853,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003063071,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000854,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003063070,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000855,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002684569,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000856,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002671611,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000857,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001684649,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000858,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527495,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000859,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527491,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000860,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527488,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000861,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527487,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000862,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527485,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000863,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527484,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000864,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527483,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000865,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527482,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000866,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527480,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000867,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527479,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000868,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527478,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000869,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527477,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000870,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001527476,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000871,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001047891,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000872,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001047875,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000873,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000815188,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000874,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000815186,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000875,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000625636,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000876,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000563683,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000877,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000563682,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000878,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253670,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000879,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253667,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000880,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253633,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000881,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253592,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000882,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253580,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000883,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253402,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000884,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000160921,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000885,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000160862,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000886,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004682502,NCBIGene:2023,IS_SEQUENCE_VARIANT_OF,edge:0000887,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004056380,NCBIGene:2475,IS_SEQUENCE_VARIANT_OF,edge:0000888,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003774491,NCBIGene:2475,IS_SEQUENCE_VARIANT_OF,edge:0000889,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004682581,NCBIGene:5210,IS_SEQUENCE_VARIANT_OF,edge:0000890,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004536742,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000891,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004277380,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000892,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003691790,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000893,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003358997,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000894,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003242334,NCBIGene:859,IS_SEQUENCE_VARIANT_OF,edge:0000895,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003062708,NCBIGene:859,IS_SEQUENCE_VARIANT_OF,edge:0000896,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002685895,NCBIGene:859,IS_SEQUENCE_VARIANT_OF,edge:0000897,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002580292,NCBIGene:51738,IS_SEQUENCE_VARIANT_OF,edge:0000898,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002412803,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000899,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001686091,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000900,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001686090,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000901,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001526968,NCBIGene:859,IS_SEQUENCE_VARIANT_OF,edge:0000902,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001526967,NCBIGene:859,IS_SEQUENCE_VARIANT_OF,edge:0000903,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001285541,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000904,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000436405,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000905,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000436400,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000906,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000253614,NCBIGene:51738,IS_SEQUENCE_VARIANT_OF,edge:0000907,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057978,NCBIGene:5468,IS_SEQUENCE_VARIANT_OF,edge:0000908,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057977,NCBIGene:51738,IS_SEQUENCE_VARIANT_OF,edge:0000909,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057397,NCBIGene:51738,IS_SEQUENCE_VARIANT_OF,edge:0000910,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003591819,NCBIGene:2908,IS_SEQUENCE_VARIANT_OF,edge:0000911,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003591808,NCBIGene:2908,IS_SEQUENCE_VARIANT_OF,edge:0000912,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003246454,NCBIGene:2908,IS_SEQUENCE_VARIANT_OF,edge:0000913,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003062812,NCBIGene:2908,IS_SEQUENCE_VARIANT_OF,edge:0000914,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001451274,NCBIGene:2908,IS_SEQUENCE_VARIANT_OF,edge:0000915,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000457359,NCBIGene:5515,IS_SEQUENCE_VARIANT_OF,edge:0000916,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000059672,NCBIGene:5515,IS_SEQUENCE_VARIANT_OF,edge:0000917,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000058388,NCBIGene:2908,IS_SEQUENCE_VARIANT_OF,edge:0000918,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057483,NCBIGene:5515,IS_SEQUENCE_VARIANT_OF,edge:0000919,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004755362,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000920,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002684632,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000921,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002503522,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000922,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001807629,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000923,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001459937,NCBIGene:3630,IS_SEQUENCE_VARIANT_OF,edge:0000924,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001457228,NCBIGene:3630,IS_SEQUENCE_VARIANT_OF,edge:0000925,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000931331,NCBIGene:3630,IS_SEQUENCE_VARIANT_OF,edge:0000926,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000625559,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000927,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000431443,NCBIGene:3630,IS_SEQUENCE_VARIANT_OF,edge:0000928,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000059748,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000929,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057274,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000930,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057258,NCBIGene:116534,IS_SEQUENCE_VARIANT_OF,edge:0000931,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003340440,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000932,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001810343,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000933,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001808628,NCBIGene:3481,IS_SEQUENCE_VARIANT_OF,edge:0000934,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001327492,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000935,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001209208,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000936,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001198752,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000937,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000462149,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000938,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000391700,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000939,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000279921,NCBIGene:3265,IS_SEQUENCE_VARIANT_OF,edge:0000940,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004282352,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000941,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004073618,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000942,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003896504,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000943,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003776007,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000944,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003639761,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000945,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003340447,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000946,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002740782,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000947,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002684882,NCBIGene:51548,IS_SEQUENCE_VARIANT_OF,edge:0000948,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002426564,NCBIGene:84467,IS_SEQUENCE_VARIANT_OF,edge:0000949,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002033150,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000950,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002027676,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000951,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001459005,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000952,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001069695,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000953,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000500119,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000954,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000430587,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000955,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000211189,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000956,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000059082,NCBIGene:51548,IS_SEQUENCE_VARIANT_OF,edge:0000957,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000014708,NCBIGene:3643,IS_SEQUENCE_VARIANT_OF,edge:0000958,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004750132,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000959,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004732891,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000960,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004719475,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000961,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004714005,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000962,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004688928,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000963,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004531894,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000964,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003895223,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000965,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003862988,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000966,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003862980,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000967,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003726879,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000968,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003720989,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000969,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003693769,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000970,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003669101,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000971,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003660922,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000972,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003659274,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000973,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003659247,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000974,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003648787,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000975,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003601179,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000976,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003392793,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000977,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003382790,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000978,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003376696,NCBIGene:3784,IS_SEQUENCE_VARIANT_OF,edge:0000979,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004277521,NCBIGene:3559,IS_SEQUENCE_VARIANT_OF,edge:0000980,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003721571,NCBIGene:3559,IS_SEQUENCE_VARIANT_OF,edge:0000981,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003391850,NCBIGene:5214,IS_SEQUENCE_VARIANT_OF,edge:0000982,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002030202,NCBIGene:3559,IS_SEQUENCE_VARIANT_OF,edge:0000983,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001077184,NCBIGene:5214,IS_SEQUENCE_VARIANT_OF,edge:0000984,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
