id:ID(KG),:LABEL,name,provided_by,accession,length,source_db,mane_status,mane_refseq_nuc,mane_ensembl_nuc,mane_ensembl_prot
NCBIProtein:NP_066564,Protein,histone acetyltransferase KAT2A isoform 1,,NP_066564.2,837.0,RefSeq,MANE Select,NM_021078.3,ENST00000225916.10,ENSP00000225916.5
NCBIProtein:NP_004474,Protein,"glycine cleavage system H protein, mitochondrial precursor",,NP_004474.2,173.0,RefSeq,MANE Select,NM_004483.5,ENST00000315467.9,ENSP00000319531.3
NCBIProtein:NP_001231639,Protein,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 isoform 1,,NP_001231639.1,699.0,RefSeq,MANE Select,NM_001244710.2,ENST00000357308.9,ENSP00000349860.4
NCBIProtein:NP_000506,Protein,somatotropin isoform 1 precursor,,NP_000506.2,217.0,RefSeq,MANE Select,NM_000515.5,ENST00000323322.10,ENSP00000312673.5
NCBIProtein:NP_005262,Protein,"glutamate dehydrogenase 1, mitochondrial isoform a precursor",,NP_005262.1,558.0,RefSeq,MANE Select,NM_005271.5,ENST00000277865.5,ENSP00000277865.4
NCBIProtein:NP_002063,Protein,guanine nucleotide-binding protein G(q) subunit alpha,,NP_002063.2,359.0,RefSeq,MANE Select,NM_002072.5,ENST00000286548.9,ENSP00000286548.4
NCBIProtein:NP_000507,Protein,protein GNAS isoform GNASL,,NP_000507.1,394.0,RefSeq,MANE Select,NM_000516.7,ENST00000371085.8,ENSP00000360126.3
NCBIProtein:NP_002066,Protein,guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 isoform 1,,NP_002066.1,340.0,RefSeq,MANE Select,NM_002075.4,ENST00000229264.8,ENSP00000229264.3
NCBIProtein:NP_002070,Protein,"aspartate aminotransferase, cytoplasmic",,NP_002070.1,413.0,RefSeq,MANE Select,NM_002079.3,ENST00000370508.7,ENSP00000359539.5
NCBIProtein:NP_000166,Protein,glucose-6-phosphate isomerase isoform 2,,NP_000166.2,558.0,RefSeq,MANE Select,NM_000175.5,ENST00000356487.11,ENSP00000348877.3
NCBIProtein:NP_001494,Protein,phosphatidylinositol-glycan-specific phospholipase D precursor,,NP_001494.2,840.0,RefSeq,MANE Select,NM_001503.4,ENST00000230036.2,ENSP00000230036.1
NCBIProtein:NP_001376374,Protein,chemerin-like receptor 2,,NP_001376374.1,355.0,RefSeq,MANE Select,NM_001389445.1,ENST00000621141.5,ENSP00000483003.1
NCBIProtein:NP_001357016,Protein,free fatty acid receptor 2,,NP_001357016.1,330.0,RefSeq,MANE Select,NM_001370087.1,ENST00000599180.3,ENSP00000473159.1
NCBIProtein:NP_000167,Protein,glucocorticoid receptor isoform alpha,,NP_000167.1,777.0,RefSeq,MANE Select,NM_000176.3,ENST00000394464.7,ENSP00000377977.2
NCBIProtein:NP_063937,Protein,glycogen synthase kinase-3 alpha,,NP_063937.2,483.0,RefSeq,MANE Select,NM_019884.3,ENST00000222330.8,ENSP00000222330.3
NCBIProtein:NP_001139628,Protein,glycogen synthase kinase-3 beta isoform 2,,NP_001139628.1,420.0,RefSeq,MANE Select,NM_001146156.2,ENST00000264235.13,ENSP00000264235.9
NCBIProtein:NP_009033,Protein,guanylate cyclase activator 2B preproprotein,,NP_009033.1,112.0,RefSeq,MANE Select,NM_007102.3,ENST00000372581.2,ENSP00000361662.1
NCBIProtein:NP_004121,Protein,glycogenin-1 isoform 1,,NP_004121.2,350.0,RefSeq,MANE Select,NM_004130.4,ENST00000345003.9,ENSP00000340736.4
NCBIProtein:NP_002094,Protein,"glycogen [starch] synthase, muscle isoform 1",,NP_002094.2,737.0,RefSeq,MANE Select,NM_002103.5,ENST00000323798.8,ENSP00000317904.3
NCBIProtein:NP_001371201,Protein,orexin receptor type 2,,NP_001371201.1,444.0,RefSeq,MANE Select,NM_001384272.1,ENST00000370862.4,ENSP00000359899.3
NCBIProtein:NP_001521,Protein,hypoxia-inducible factor 1-alpha isoform 1,,NP_001521.1,826.0,RefSeq,MANE Select,NM_001530.4,ENST00000337138.9,ENSP00000338018.4
NCBIProtein:NP_000179,Protein,hexokinase-1 isoform HKI,,NP_000179.2,917.0,RefSeq,MANE Select,NM_000188.3,ENST00000359426.7,ENSP00000352398.6
NCBIProtein:NP_000180,Protein,hexokinase-2 isoform 1,,NP_000180.2,917.0,RefSeq,MANE Select,NM_000189.5,ENST00000290573.7,ENSP00000290573.2
NCBIProtein:NP_002106,Protein,hexokinase-3,,NP_002106.2,923.0,RefSeq,MANE Select,NM_002115.3,ENST00000292432.10,ENSP00000292432.5
NCBIProtein:NP_002113,Protein,"HLA class II histocompatibility antigen, DQ alpha 1 chain precursor",,NP_002113.2,255.0,RefSeq,MANE Select,NM_002122.5,ENST00000343139.11,ENSP00000339398.5
NCBIProtein:NP_002114,Protein,"HLA class II histocompatibility antigen, DQ beta 1 chain isoform 1 precursor",,NP_002114.3,261.0,RefSeq,MANE Select,NM_002123.5,ENST00000434651.7,ENSP00000407332.2
NCBIProtein:NP_001287719,Protein,"HLA class II histocompatibility antigen, DQ beta 2 chain isoform 1 precursor",,NP_001287719.1,264.0,RefSeq,MANE Select,NM_001300790.2,ENST00000437316.7,ENSP00000396330.2
NCBIProtein:NP_002115,Protein,"major histocompatibility complex, class II, DR beta 1 precursor",,NP_002115.2,266.0,RefSeq,MANE Select,NM_002124.4,ENST00000360004.6,ENSP00000353099.5
NCBIProtein:NP_004488,Protein,hepatocyte nuclear factor 3-gamma,,NP_004488.2,350.0,RefSeq,MANE Select,NM_004497.3,ENST00000302177.3,ENSP00000304004.1
NCBIProtein:NP_787110,Protein,hepatocyte nuclear factor 4-alpha isoform 5,,NP_787110.2,452.0,RefSeq,MANE Select,NM_175914.5,ENST00000316673.9,ENSP00000315180.4
NCBIProtein:NP_005334,Protein,GTPase HRas isoform 1,,NP_005334.1,189.0,RefSeq,MANE Select,NM_005343.4,ENST00000311189.8,ENSP00000309845.7
NCBIProtein:NP_005887,Protein,isocitrate dehydrogenase [NADP] cytoplasmic,,NP_005887.2,414.0,RefSeq,MANE Select,NM_005896.4,ENST00000345146.7,ENSP00000260985.2
NCBIProtein:NP_002159,Protein,"isocitrate dehydrogenase [NADP], mitochondrial isoform 1 precursor",,NP_002159.2,452.0,RefSeq,MANE Select,NM_002168.4,ENST00000330062.8,ENSP00000331897.4
NCBIProtein:NP_000610,Protein,interferon gamma precursor,,NP_000610.2,166.0,RefSeq,MANE Select,NM_000619.3,ENST00000229135.4,ENSP00000229135.3
NCBIProtein:NP_000609,Protein,insulin-like growth factor 1 isoform 4 preproprotein,,NP_000609.1,153.0,RefSeq,MANE Select,NM_000618.5,ENST00000337514.11,ENSP00000337612.7
NCBIProtein:NP_000603,Protein,insulin-like growth factor 2 isoform 1 preproprotein,,NP_000603.1,180.0,RefSeq,MANE Select,NM_000612.6,ENST00000416167.7,ENSP00000414497.2
NCBIProtein:NP_000408,Protein,interleukin-2 receptor subunit alpha isoform 1 precursor,,NP_000408.1,272.0,RefSeq,MANE Select,NM_000417.3,ENST00000379959.8,ENSP00000369293.3
NCBIProtein:NP_000591,Protein,interleukin-6 isoform 1 precursor,,NP_000591.1,212.0,RefSeq,MANE Select,NM_000600.5,ENST00000258743.10,ENSP00000258743.5
NCBIProtein:NP_004505,Protein,forkhead box protein K2,,NP_004505.2,660.0,RefSeq,MANE Select,NM_004514.4,ENST00000335255.10,ENSP00000335677.5
NCBIProtein:NP_000198,Protein,insulin preproprotein,,NP_000198.1,110.0,RefSeq,MANE Select,NM_000207.3,ENST00000381330.5,ENSP00000370731.5
NCBIProtein:NP_000199,Protein,insulin receptor isoform Long preproprotein,,NP_000199.2,1382.0,RefSeq,MANE Select,NM_000208.4,ENST00000302850.10,ENSP00000303830.4
NCBIProtein:NP_000200,Protein,pancreas/duodenum homeobox protein 1,,NP_000200.1,283.0,RefSeq,MANE Select,NM_000209.4,ENST00000381033.5,ENSP00000370421.4
NCBIProtein:NP_005535,Protein,insulin receptor substrate 1,,NP_005535.1,1242.0,RefSeq,MANE Select,NM_005544.3,ENST00000305123.6,ENSP00000304895.4
NCBIProtein:NP_002203,Protein,eukaryotic translation initiation factor 6 isoform a,,NP_002203.1,245.0,RefSeq,MANE Select,NM_002212.4,ENST00000374450.8,ENSP00000363574.3
NCBIProtein:NP_004966,Protein,potassium voltage-gated channel subfamily B member 1,,NP_004966.1,858.0,RefSeq,MANE Select,NM_004975.4,ENST00000371741.6,ENSP00000360806.3
NCBIProtein:NP_000516,Protein,ATP-sensitive inward rectifier potassium channel 11 isoform 1,,NP_000516.3,390.0,RefSeq,MANE Select,NM_000525.4,ENST00000339994.5,ENSP00000345708.4
NCBIProtein:NP_000209,Protein,potassium voltage-gated channel subfamily KQT member 1 isoform 1,,NP_000209.2,676.0,RefSeq,MANE Select,NM_000218.3,ENST00000155840.12,ENSP00000155840.2
NCBIProtein:NP_006479,Protein,ketohexokinase isoform b,,NP_006479.1,298.0,RefSeq,MANE Select,NM_006488.3,ENST00000260598.10,ENSP00000260598.5
NCBIProtein:NP_002285,Protein,lysosome-associated membrane glycoprotein 2 isoform A precursor,,NP_002285.1,410.0,RefSeq,MANE Select,NM_002294.3,ENST00000200639.9,ENSP00000200639.4
NCBIProtein:NP_005557,Protein,L-lactate dehydrogenase A chain isoform 1,,NP_005557.1,332.0,RefSeq,MANE Select,NM_005566.4,ENST00000422447.8,ENSP00000395337.3
NCBIProtein:NP_002294,Protein,leptin receptor isoform 1 precursor,,NP_002294.2,1165.0,RefSeq,MANE Select,NM_002303.6,ENST00000349533.11,ENSP00000330393.7
NCBIProtein:NP_733821,Protein,lamin isoform A,,NP_733821.1,664.0,RefSeq,MANE Select,NM_170707.4,ENST00000368300.9,ENSP00000357283.4
NCBIProtein:NP_005909,Protein,"malate dehydrogenase, mitochondrial isoform 1 precursor",,NP_005909.2,338.0,RefSeq,MANE Select,NM_005918.4,ENST00000315758.10,ENSP00000327070.5
NCBIProtein:NP_001357188,Protein,menin isoform 2,,NP_001357188.2,610.0,RefSeq,MANE Select,NM_001370259.2,ENST00000450708.7,ENSP00000394933.3
NCBIProtein:NP_066278,Protein,hepatocyte growth factor-like protein isoform 1 precursor,,NP_066278.3,725.0,RefSeq,MANE Select,NM_020998.4,ENST00000449682.3,ENSP00000414287.2
NCBIProtein:NP_005950,Protein,melatonin receptor type 1B,,NP_005950.1,362.0,RefSeq,MANE Select,NM_005959.5,ENST00000257068.3,ENSP00000257068.2
NCBIProtein:NP_002491,Protein,neurogenic differentiation factor 1,,NP_002491.3,356.0,RefSeq,MANE Select,NM_002500.5,ENST00000295108.4,ENSP00000295108.3
NCBIProtein:NP_001309863,Protein,nuclear factor NF-kappa-B p100 subunit isoform a,,NP_001309863.1,900.0,RefSeq,MANE Select,NM_001322934.2,ENST00000661543.1,ENSP00000499294.1
NCBIProtein:NP_002498,Protein,tumor necrosis factor receptor superfamily member 16 precursor,,NP_002498.1,427.0,RefSeq,MANE Select,NM_002507.4,ENST00000172229.8,ENSP00000172229.3
NCBIProtein:NP_006160,Protein,nicotinamide N-methyltransferase,,NP_006160.1,264.0,RefSeq,MANE Select,NM_006169.3,ENST00000299964.4,ENSP00000299964.3
NCBIProtein:NP_077719,Protein,neurogenic locus notch homolog protein 2 isoform 1 preproprotein,,NP_077719.2,2471.0,RefSeq,MANE Select,NM_024408.4,ENST00000256646.7,ENSP00000256646.2
NCBIProtein:NP_000426,Protein,neurogenic locus notch homolog protein 3 precursor,,NP_000426.2,2321.0,RefSeq,MANE Select,NM_000435.3,ENST00000263388.7,ENSP00000263388.1
NCBIProtein:NP_002515,Protein,GTPase NRas,,NP_002515.1,189.0,RefSeq,MANE Select,NM_002524.5,ENST00000369535.5,ENSP00000358548.4
NCBIProtein:NP_058132,Protein,2'-5'-oligoadenylate synthase 1 isoform 1,,NP_058132.2,400.0,RefSeq,MANE Select,NM_016816.4,ENST00000202917.10,ENSP00000202917.5
NCBIProtein:NP_002532,Protein,2-oxoglutarate dehydrogenase complex component E1 isoform 1 precursor,,NP_002532.2,1023.0,RefSeq,MANE Select,NM_002541.4,ENST00000222673.6,ENSP00000222673.5
NCBIProtein:NP_002553,Protein,P2X purinoceptor 7,,NP_002553.3,595.0,RefSeq,MANE Select,NM_002562.6,ENST00000328963.10,ENSP00000330696.6
NCBIProtein:NP_004553,Protein,E3 ubiquitin-protein ligase parkin isoform 1,,NP_004553.2,465.0,RefSeq,MANE Select,NM_004562.3,ENST00000366898.6,ENSP00000355865.1
NCBIProtein:NP_001355823,Protein,paired box protein Pax-6 isoform b,,NP_001355823.1,436.0,RefSeq,MANE Select,NM_001368894.2,ENST00000640368.2,ENSP00000492024.1
NCBIProtein:NP_001035806,Protein,"pyruvate carboxylase, mitochondrial precursor",,NP_001035806.1,1178.0,RefSeq,MANE Select,NM_001040716.2,ENST00000393960.7,ENSP00000377532.1
NCBIProtein:NP_002582,Protein,"phosphoenolpyruvate carboxykinase, cytosolic [GTP]",,NP_002582.3,622.0,RefSeq,MANE Select,NM_002591.4,ENST00000319441.6,ENSP00000319814.4
NCBIProtein:NP_004554,Protein,"phosphoenolpyruvate carboxykinase [GTP], mitochondrial isoform 1 precursor",,NP_004554.3,640.0,RefSeq,MANE Select,NM_004563.4,ENST00000216780.9,ENSP00000216780.4
NCBIProtein:NP_000275,Protein,"pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial isoform 1 precursor",,NP_000275.1,390.0,RefSeq,MANE Select,NM_000284.4,ENST00000422285.7,ENSP00000394382.2
NCBIProtein:NP_005381,Protein,"pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial precursor",,NP_005381.1,388.0,RefSeq,MANE Select,NM_005390.5,ENST00000295266.6,ENSP00000295266.4
NCBIProtein:NP_000916,Protein,"pyruvate dehydrogenase E1 component subunit beta, mitochondrial isoform 1 precursor",,NP_000916.2,359.0,RefSeq,MANE Select,NM_000925.4,ENST00000302746.11,ENSP00000307241.6
NCBIProtein:NP_002601,Protein,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial isoform 2 precursor",,NP_002601.1,436.0,RefSeq,MANE Select,NM_002610.5,ENST00000282077.8,ENSP00000282077.3
