:START_ID(KG),:END_ID(KG),:TYPE,id,relation,knowledge_level,agent_type,provided_by,source
ClinVar:VCV003340447,MONDO:0012381,CAUSES,edge:0005614,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002426564,MONDO:0009653,CAUSES,edge:0005615,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000430587,MONDO:0009874,CAUSES,edge:0005616,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000211189,MONDO:0012381,CAUSES,edge:0005617,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004750132,MONDO:0002442,CAUSES,edge:0005618,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004732891,MONDO:0002442,CAUSES,edge:0005619,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004719475,MONDO:0002442,CAUSES,edge:0005620,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004714005,MONDO:0002442,CAUSES,edge:0005621,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004688928,MONDO:0002442,CAUSES,edge:0005622,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004531894,MONDO:0100316,CAUSES,edge:0005623,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003726879,MONDO:0002442,CAUSES,edge:0005624,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003720989,MONDO:0002442,CAUSES,edge:0005625,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003693769,MONDO:0002442,CAUSES,edge:0005626,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003669101,MONDO:0002442,CAUSES,edge:0005627,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003660922,MONDO:0002442,CAUSES,edge:0005628,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003659274,MONDO:0002442,CAUSES,edge:0005629,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003659247,MONDO:0002442,CAUSES,edge:0005630,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003648787,MONDO:0002442,CAUSES,edge:0005631,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003601179,MONDO:0024540,CAUSES,edge:0005632,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003392793,MONDO:0002442,CAUSES,edge:0005633,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003382790,MONDO:0012313,CAUSES,edge:0005634,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003382790,MONDO:0100316,CAUSES,edge:0005635,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003382790,MONDO:0024540,CAUSES,edge:0005636,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003376696,MONDO:0100316,CAUSES,edge:0005637,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004277521,MONDO:0011664,CAUSES,edge:0005638,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003721571,MONDO:0011664,CAUSES,edge:0005639,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002030202,MONDO:0011664,CAUSES,edge:0005640,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000657558,MONDO:0011664,CAUSES,edge:0005641,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000599307,MONDO:0007797,CAUSES,edge:0005642,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000203515,MONDO:0011664,CAUSES,edge:0005643,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002425617,MONDO:0013551,CAUSES,edge:0005644,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001070042,MONDO:0018997,CAUSES,edge:0005645,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000177778,MONDO:0021060,CAUSES,edge:0005646,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000040472,MONDO:0021060,CAUSES,edge:0005647,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000040469,MONDO:0013186,CAUSES,edge:0005648,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000013903,MONDO:0021060,CAUSES,edge:0005649,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000013902,MONDO:0021060,CAUSES,edge:0005650,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000013900,MONDO:0024291,CAUSES,edge:0005651,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000013900,MONDO:0005575,CAUSES,edge:0005652,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000013900,MONDO:0005233,CAUSES,edge:0005653,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004687887,MONDO:0015967,CAUSES,edge:0005654,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004685475,MONDO:0010894,CAUSES,edge:0005655,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004279062,MONDO:0010894,CAUSES,edge:0005656,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003907574,MONDO:0018911,CAUSES,edge:0005657,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003893279,MONDO:0015967,CAUSES,edge:0005658,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003893278,MONDO:0015967,CAUSES,edge:0005659,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003768879,MONDO:0018911,CAUSES,edge:0005660,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003767146,MONDO:0015967,CAUSES,edge:0005661,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003574303,MONDO:0007763,CAUSES,edge:0005662,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003574303,MONDO:0012919,CAUSES,edge:0005663,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003574303,MONDO:0005148,CAUSES,edge:0005664,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003358872,MONDO:0015967,CAUSES,edge:0005665,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003358871,MONDO:0015967,CAUSES,edge:0005666,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003338658,MONDO:0015967,CAUSES,edge:0005667,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003336431,MONDO:0018911,CAUSES,edge:0005668,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003763455,MONDO:0013008,CAUSES,edge:0005669,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003763455,MONDO:0008497,CAUSES,edge:0005670,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003763455,MONDO:0008051,CAUSES,edge:0005671,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003756856,MONDO:0008051,CAUSES,edge:0005672,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003756856,MONDO:0013008,CAUSES,edge:0005673,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003756856,MONDO:0008497,CAUSES,edge:0005674,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003755531,MONDO:0008051,CAUSES,edge:0005675,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003755531,MONDO:0013008,CAUSES,edge:0005676,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003755531,MONDO:0008497,CAUSES,edge:0005677,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003752806,MONDO:0008051,CAUSES,edge:0005678,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003752806,MONDO:0008497,CAUSES,edge:0005679,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003752806,MONDO:0013008,CAUSES,edge:0005680,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003061748,MONDO:0024531,CAUSES,edge:0005681,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002928208,MONDO:0008051,CAUSES,edge:0005682,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002928208,MONDO:0013008,CAUSES,edge:0005683,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002928208,MONDO:0008497,CAUSES,edge:0005684,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001459002,MONDO:0008497,CAUSES,edge:0005685,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001459002,MONDO:0008051,CAUSES,edge:0005686,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001459002,MONDO:0013008,CAUSES,edge:0005687,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001457776,MONDO:0008497,CAUSES,edge:0005688,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001457776,MONDO:0008051,CAUSES,edge:0005689,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001457776,MONDO:0013008,CAUSES,edge:0005690,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001371047,MONDO:0013008,CAUSES,edge:0005691,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001371047,MONDO:0008497,CAUSES,edge:0005692,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001371047,MONDO:0008051,CAUSES,edge:0005693,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001365102,MONDO:0008497,CAUSES,edge:0005694,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001365102,MONDO:0013008,CAUSES,edge:0005695,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001365102,MONDO:0008051,CAUSES,edge:0005696,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000832877,MONDO:0008051,CAUSES,edge:0005697,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000832877,MONDO:0008497,CAUSES,edge:0005698,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000832877,MONDO:0013008,CAUSES,edge:0005699,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000665042,MONDO:0013008,CAUSES,edge:0005700,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000665042,MONDO:0008497,CAUSES,edge:0005701,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000665042,MONDO:0008051,CAUSES,edge:0005702,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000643831,MONDO:0013008,CAUSES,edge:0005703,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000643831,MONDO:0008497,CAUSES,edge:0005704,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000643831,MONDO:0008051,CAUSES,edge:0005705,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000572186,MONDO:0008051,CAUSES,edge:0005706,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000572186,MONDO:0008497,CAUSES,edge:0005707,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000572186,MONDO:0013008,CAUSES,edge:0005708,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004537229,MONDO:0015967,CAUSES,edge:0005709,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004532072,MONDO:0007453,CAUSES,edge:0005710,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004531184,MONDO:0015967,CAUSES,edge:0005711,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004292671,MONDO:0007453,CAUSES,edge:0005712,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004087765,MONDO:0015967,CAUSES,edge:0005713,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003906939,MONDO:0015967,CAUSES,edge:0005714,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003769488,MONDO:0015967,CAUSES,edge:0005715,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003768773,MONDO:0015967,CAUSES,edge:0005716,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003720739,MONDO:0015967,CAUSES,edge:0005717,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003629664,MONDO:0015967,CAUSES,edge:0005718,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003602117,MONDO:0015967,CAUSES,edge:0005719,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004735124,MONDO:0007540,CAUSES,edge:0005720,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004731953,MONDO:0007540,CAUSES,edge:0005721,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004729500,MONDO:0007540,CAUSES,edge:0005722,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004727664,MONDO:0007540,CAUSES,edge:0005723,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004727557,MONDO:0007540,CAUSES,edge:0005724,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004725658,MONDO:0007540,CAUSES,edge:0005725,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004722467,MONDO:0007540,CAUSES,edge:0005726,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004719461,MONDO:0007540,CAUSES,edge:0005727,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004718563,MONDO:0007540,CAUSES,edge:0005728,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004718410,MONDO:0007540,CAUSES,edge:0005729,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004709851,MONDO:0007540,CAUSES,edge:0005730,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004709848,MONDO:0007540,CAUSES,edge:0005731,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004646503,MONDO:0015356,CAUSES,edge:0005732,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004646474,MONDO:0015356,CAUSES,edge:0005733,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004646422,MONDO:0015356,CAUSES,edge:0005734,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004646346,MONDO:0015356,CAUSES,edge:0005735,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004646270,MONDO:0015356,CAUSES,edge:0005736,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004536891,MONDO:0007540,CAUSES,edge:0005737,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004525748,MONDO:0007540,CAUSES,edge:0005738,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004525744,MONDO:0007540,CAUSES,edge:0005739,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004106568,MONDO:0015356,CAUSES,edge:0005740,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004106552,MONDO:0015356,CAUSES,edge:0005741,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004056286,MONDO:0007540,CAUSES,edge:0005742,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004053819,MONDO:0015356,CAUSES,edge:0005743,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004053800,MONDO:0015356,CAUSES,edge:0005744,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004053796,MONDO:0015356,CAUSES,edge:0005745,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003903159,MONDO:0007540,CAUSES,edge:0005746,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003902228,MONDO:0007540,CAUSES,edge:0005747,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003872259,MONDO:0015356,CAUSES,edge:0005748,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003872258,MONDO:0015356,CAUSES,edge:0005749,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003872257,MONDO:0015356,CAUSES,edge:0005750,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003872254,MONDO:0015356,CAUSES,edge:0005751,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003872239,MONDO:0015356,CAUSES,edge:0005752,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003729174,MONDO:0007540,CAUSES,edge:0005753,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003726346,MONDO:0007540,CAUSES,edge:0005754,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
