id:ID(KG),:LABEL,name,xref,in_taxon,chromosome,provided_by,source,symbol,gene_type,hgnc_id,omim_ids,swiss_prot,ensembl_ids
NCBIGene:6566,Gene,SLC16A1,HGNC:10922|ENSEMBL:ENSG00000155380|OMIM:600682,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4791,Gene,NFKB2,HGNC:7795|ENSEMBL:ENSG00000077150|OMIM:164012,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7030,Gene,TFE3,HGNC:11752|ENSEMBL:ENSG00000068323|OMIM:314310,NCBITaxon:9606,X,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5290,Gene,PIK3CA,HGNC:8975|ENSEMBL:ENSG00000121879|OMIM:171834,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1234,Gene,CCR5,HGNC:1606|ENSEMBL:ENSG00000160791|OMIM:601373,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4000,Gene,LMNA,HGNC:6636|ENSEMBL:ENSG00000160789|OMIM:150330,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3481,Gene,IGF2,HGNC:5466|ENSEMBL:ENSG00000167244|OMIM:147470,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2261,Gene,FGFR3,HGNC:3690|ENSEMBL:ENSG00000068078|OMIM:134934,NCBITaxon:9606,4,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5295,Gene,PIK3R1,HGNC:8979|ENSEMBL:ENSG00000145675|OMIM:171833,NCBITaxon:9606,5,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4854,Gene,NOTCH3,HGNC:7883|ENSEMBL:ENSG00000074181|OMIM:600276,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3172,Gene,HNF4A,HGNC:5024|ENSEMBL:ENSG00000101076|OMIM:600281,NCBITaxon:9606,20,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1589,Gene,CYP21A2,HGNC:2600|ENSEMBL:ENSG00000231852|OMIM:613815,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:116519,Gene,APOA5,HGNC:17288|ENSEMBL:ENSG00000110243|OMIM:606368,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:775,Gene,CACNA1C,HGNC:1390|ENSEMBL:ENSG00000151067|OMIM:114205,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7486,Gene,WRN,HGNC:12791|ENSEMBL:ENSG00000165392|OMIM:604611,NCBITaxon:9606,8,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3939,Gene,LDHA,HGNC:6535|ENSEMBL:ENSG00000134333|OMIM:150000,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6833,Gene,ABCC8,HGNC:59|ENSEMBL:ENSG00000006071|OMIM:600509,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:9971,Gene,NR1H4,HGNC:7967|ENSEMBL:ENSG00000012504|OMIM:603826,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5167,Gene,ENPP1,HGNC:3356|ENSEMBL:ENSG00000197594|OMIM:173335,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:208,Gene,AKT2,HGNC:392|ENSEMBL:ENSG00000105221|OMIM:164731,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7019,Gene,TFAM,HGNC:11741|ENSEMBL:ENSG00000108064|OMIM:600438,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1028,Gene,CDKN1C,HGNC:1786|ENSEMBL:ENSG00000129757|OMIM:600856,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5447,Gene,POR,HGNC:9208|ENSEMBL:ENSG00000127948|OMIM:124015,NCBITaxon:9606,7,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2688,Gene,GH1,HGNC:4261|ENSEMBL:ENSG00000259384|OMIM:139250,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5230,Gene,PGK1,HGNC:8896|ENSEMBL:ENSG00000102144|OMIM:311800,NCBITaxon:9606,X,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10984,Gene,KCNQ1OT1,HGNC:6295|ENSEMBL:ENSG00000269821|OMIM:604115,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:226,Gene,ALDOA,HGNC:414|ENSEMBL:ENSG00000149925|OMIM:103850,NCBITaxon:9606,16,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:8086,Gene,AAAS,HGNC:13666|ENSEMBL:ENSG00000094914|OMIM:605378,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2632,Gene,GBE1,HGNC:4180|ENSEMBL:ENSG00000114480|OMIM:607839,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5236,Gene,PGM1,HGNC:8905|ENSEMBL:ENSG00000079739|OMIM:171900,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2584,Gene,GALK1,HGNC:4118|ENSEMBL:ENSG00000108479|OMIM:604313,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:9149,Gene,DYRK1B,HGNC:3092|ENSEMBL:ENSG00000105204|OMIM:604556,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10056,Gene,FARSB,HGNC:17800|ENSEMBL:ENSG00000116120|OMIM:609690,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:28976,Gene,ACAD9,HGNC:21497|ENSEMBL:ENSG00000177646|OMIM:611103,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7381,Gene,UQCRB,HGNC:12582|ENSEMBL:ENSG00000156467|OMIM:191330,NCBITaxon:9606,8,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10352,Gene,WARS2,HGNC:12730|ENSEMBL:ENSG00000116874|OMIM:604733,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2027,Gene,ENO3,HGNC:3354|ENSEMBL:ENSG00000108515|OMIM:131370,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2653,Gene,GCSH,HGNC:4208|ENSEMBL:ENSG00000140905|OMIM:238330,NCBITaxon:9606,16,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:28957,Gene,MRPS28,HGNC:14513|ENSEMBL:ENSG00000147586|OMIM:611990,NCBITaxon:9606,8,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:27089,Gene,UQCRQ,HGNC:29594|ENSEMBL:ENSG00000164405|OMIM:612080,NCBITaxon:9606,5,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:84320,Gene,ACBD6,HGNC:23339|ENSEMBL:ENSG00000230124|OMIM:616352,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3123,Gene,HLA-DRB1,HGNC:4948|ENSEMBL:ENSG00000196126|OMIM:142857,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:207,Gene,AKT1,HGNC:391|ENSEMBL:ENSG00000142208|OMIM:164730,NCBITaxon:9606,14,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2932,Gene,GSK3B,HGNC:4617|ENSEMBL:ENSG00000082701|OMIM:605004,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3417,Gene,IDH1,HGNC:5382|ENSEMBL:ENSG00000138413|OMIM:147700,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:26191,Gene,PTPN22,HGNC:9652|ENSEMBL:ENSG00000134242|OMIM:600716,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5315,Gene,PKM,HGNC:9021|ENSEMBL:ENSG00000067225|OMIM:179050,NCBITaxon:9606,15,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2539,Gene,G6PD,HGNC:4057|ENSEMBL:ENSG00000160211|OMIM:305900,NCBITaxon:9606,X,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3418,Gene,IDH2,HGNC:5383|ENSEMBL:ENSG00000182054|OMIM:147650,NCBITaxon:9606,15,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2597,Gene,GAPDH,HGNC:4141|ENSEMBL:ENSG00000111640|OMIM:138400,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1030,Gene,CDKN2B,HGNC:1788|ENSEMBL:ENSG00000147883|OMIM:600431,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4853,Gene,NOTCH2,HGNC:7882|ENSEMBL:ENSG00000134250|OMIM:600275,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3099,Gene,HK2,HGNC:4923|ENSEMBL:ENSG00000159399|OMIM:601125,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2026,Gene,ENO2,HGNC:3353|ENSEMBL:ENSG00000111674|OMIM:131360,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3920,Gene,LAMP2,HGNC:6501|ENSEMBL:ENSG00000005893|OMIM:309060,NCBITaxon:9606,X,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:169026,Gene,SLC30A8,HGNC:20303|ENSEMBL:ENSG00000164756|OMIM:611145,NCBITaxon:9606,8,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3651,Gene,PDX1,HGNC:6107|ENSEMBL:ENSG00000139515|OMIM:600733,NCBITaxon:9606,13,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5291,Gene,PIK3CB,HGNC:8976|ENSEMBL:ENSG00000051382|OMIM:602925,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10891,Gene,PPARGC1A,HGNC:9237|ENSEMBL:ENSG00000109819|OMIM:604517,NCBITaxon:9606,4,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2309,Gene,FOXO3,HGNC:3821|ENSEMBL:ENSG00000118689|OMIM:602681,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3117,Gene,HLA-DQA1,HGNC:4942|ENSEMBL:ENSG00000196735|OMIM:146880,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:354,Gene,KLK3,HGNC:6364|ENSEMBL:ENSG00000142515|OMIM:176820,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5624,Gene,PROC,HGNC:9451|ENSEMBL:ENSG00000115718|OMIM:612283,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7351,Gene,UCP2,HGNC:12518|ENSEMBL:ENSG00000175567|OMIM:601693,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10628,Gene,TXNIP,HGNC:16952|ENSEMBL:ENSG00000265972|OMIM:606599,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10644,Gene,IGF2BP2,HGNC:28867|ENSEMBL:ENSG00000073792|OMIM:608289,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:8473,Gene,OGT,HGNC:8127|ENSEMBL:ENSG00000147162|OMIM:300255,NCBITaxon:9606,X,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6517,Gene,SLC2A4,HGNC:11009|ENSEMBL:ENSG00000181856|OMIM:138190,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5170,Gene,PDPK1,HGNC:8816|ENSEMBL:ENSG00000140992|OMIM:605213,NCBITaxon:9606,16,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:10000,Gene,AKT3,HGNC:393|ENSEMBL:ENSG00000117020|OMIM:611223,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2746,Gene,GLUD1,HGNC:4335|ENSEMBL:ENSG00000148672|OMIM:138130,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5728,Gene,PTEN,HGNC:9588|ENSEMBL:ENSG00000171862|OMIM:601728,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1029,Gene,CDKN2A,HGNC:1787|ENSEMBL:ENSG00000147889|OMIM:600160,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1493,Gene,CTLA4,HGNC:2505|ENSEMBL:ENSG00000163599|OMIM:123890,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6934,Gene,TCF7L2,HGNC:11641|ENSEMBL:ENSG00000148737|OMIM:602228,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6513,Gene,SLC2A1,HGNC:11005|ENSEMBL:ENSG00000117394|OMIM:138140,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2308,Gene,FOXO1,HGNC:3819|ENSEMBL:ENSG00000150907|OMIM:136533,NCBITaxon:9606,13,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5465,Gene,PPARA,HGNC:9232|ENSEMBL:ENSG00000186951|OMIM:170998,NCBITaxon:9606,22,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3667,Gene,IRS1,HGNC:6125|ENSEMBL:ENSG00000169047|OMIM:147545,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6720,Gene,SREBF1,HGNC:11289|ENSEMBL:ENSG00000072310|OMIM:184756,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6928,Gene,HNF1B,HGNC:11630|ENSEMBL:ENSG00000275410|OMIM:189907,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2023,Gene,ENO1,HGNC:3350|ENSEMBL:ENSG00000074800|OMIM:172430,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2548,Gene,GAA,HGNC:4065|ENSEMBL:ENSG00000171298|OMIM:606800,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:8660,Gene,IRS2,HGNC:6126|ENSEMBL:ENSG00000185950|OMIM:600797,NCBITaxon:9606,13,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6721,Gene,SREBF2,HGNC:11290|ENSEMBL:ENSG00000198911|OMIM:600481,NCBITaxon:9606,22,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:56606,Gene,SLC2A9,HGNC:13446|ENSEMBL:ENSG00000109667|OMIM:606142,NCBITaxon:9606,4,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3119,Gene,HLA-DQB1,HGNC:4944|ENSEMBL:ENSG00000179344|OMIM:604305,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2194,Gene,FASN,HGNC:3594|ENSEMBL:ENSG00000169710|OMIM:600212,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2203,Gene,FBP1,HGNC:3606|ENSEMBL:ENSG00000165140|OMIM:611570,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6515,Gene,SLC2A3,HGNC:11007|ENSEMBL:ENSG00000059804|OMIM:138170,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1056,Gene,CEL,HGNC:1848|ENSEMBL:ENSG00000170835|OMIM:114840,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7957,Gene,EPM2A,HGNC:3413|ENSEMBL:ENSG00000112425|OMIM:607566,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2673,Gene,GFPT1,HGNC:4241|ENSEMBL:ENSG00000198380|OMIM:138292,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:8471,Gene,IRS4,HGNC:6128|ENSEMBL:ENSG00000133124|OMIM:300904,NCBITaxon:9606,X,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6576,Gene,SLC25A1,HGNC:10979|ENSEMBL:ENSG00000100075|OMIM:190315,NCBITaxon:9606,22,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:63892,Gene,THADA,HGNC:19217|ENSEMBL:ENSG00000115970|OMIM:611800,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2997,Gene,GYS1,HGNC:4706|ENSEMBL:ENSG00000104812|OMIM:138570,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2992,Gene,GYG1,HGNC:4699|ENSEMBL:ENSG00000163754|OMIM:603942,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3120,Gene,HLA-DQB2,HGNC:4945|ENSEMBL:ENSG00000232629|OMIM:615161,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:55276,Gene,PGM2,HGNC:8906|ENSEMBL:ENSG00000169299|OMIM:172000,NCBITaxon:9606,4,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:197257,Gene,LDHD,HGNC:19708|ENSEMBL:ENSG00000166816|OMIM:607490,NCBITaxon:9606,16,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2585,Gene,GALK2,HGNC:4119|ENSEMBL:ENSG00000156958|OMIM:137028,NCBITaxon:9606,15,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3091,Gene,HIF1A,HGNC:4910|ENSEMBL:ENSG00000100644|OMIM:603348,NCBITaxon:9606,14,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6774,Gene,STAT3,HGNC:11364|ENSEMBL:ENSG00000168610|OMIM:102582,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6714,Gene,SRC,HGNC:11283|ENSEMBL:ENSG00000197122|OMIM:190090,NCBITaxon:9606,20,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5663,Gene,PSEN1,HGNC:9508|ENSEMBL:ENSG00000080815|OMIM:104311,NCBITaxon:9606,14,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2778,Gene,GNAS,HGNC:4392|ENSEMBL:ENSG00000087460|OMIM:139320,NCBITaxon:9606,20,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1385,Gene,CREB1,HGNC:2345|ENSEMBL:ENSG00000118260|OMIM:123810,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:1050,Gene,CEBPA,HGNC:1833|ENSEMBL:ENSG00000245848|OMIM:116897,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5562,Gene,PRKAA1,HGNC:9376|ENSEMBL:ENSG00000132356|OMIM:602739,NCBITaxon:9606,5,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5950,Gene,RBP4,HGNC:9922|ENSEMBL:ENSG00000138207|OMIM:180250,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2784,Gene,GNB3,HGNC:4400|ENSEMBL:ENSG00000111664|OMIM:139130,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7345,Gene,UCHL1,HGNC:12513|ENSEMBL:ENSG00000154277|OMIM:191342,NCBITaxon:9606,4,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:632,Gene,BGLAP,HGNC:1043|ENSEMBL:ENSG00000242252|OMIM:112260,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:351,Gene,APP,HGNC:620|ENSEMBL:ENSG00000142192|OMIM:104760,NCBITaxon:9606,21,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:9370,Gene,ADIPOQ,HGNC:13633|ENSEMBL:ENSG00000181092|OMIM:605441,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:51738,Gene,GHRL,HGNC:18129|ENSEMBL:ENSG00000157017|OMIM:605353,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2200,Gene,FBN1,HGNC:3603|ENSEMBL:ENSG00000166147|OMIM:134797,NCBITaxon:9606,15,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5566,Gene,PRKACA,HGNC:9380|ENSEMBL:ENSG00000072062|OMIM:601639,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:11315,Gene,PARK7,HGNC:16369|ENSEMBL:ENSG00000116288|OMIM:602533,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4804,Gene,NGFR,HGNC:7809|ENSEMBL:ENSG00000064300|OMIM:162010,NCBITaxon:9606,17,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:51548,Gene,SIRT6,HGNC:14934|ENSEMBL:ENSG00000077463|OMIM:606211,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5467,Gene,PPARD,HGNC:9235|ENSEMBL:ENSG00000112033|OMIM:600409,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3479,Gene,IGF1,HGNC:5464|ENSEMBL:ENSG00000017427|OMIM:147440,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3458,Gene,IFNG,HGNC:5438|ENSEMBL:ENSG00000111537|OMIM:147570,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:23411,Gene,SIRT1,HGNC:14929|ENSEMBL:ENSG00000096717|OMIM:604479,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5071,Gene,PRKN,HGNC:8607|ENSEMBL:ENSG00000185345|OMIM:602544,NCBITaxon:9606,6,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2033,Gene,EP300,HGNC:3373|ENSEMBL:ENSG00000100393|OMIM:602700,NCBITaxon:9606,22,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3953,Gene,LEPR,HGNC:6554|ENSEMBL:ENSG00000116678|OMIM:601007,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5027,Gene,P2RX7,HGNC:8537|ENSEMBL:ENSG00000089041|OMIM:602566,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5080,Gene,PAX6,HGNC:8620|ENSEMBL:ENSG00000007372|OMIM:607108,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2641,Gene,GCG,HGNC:4191|ENSEMBL:ENSG00000115263|OMIM:138030,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:7874,Gene,USP7,HGNC:12630|ENSEMBL:ENSG00000187555|OMIM:602519,NCBITaxon:9606,16,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2776,Gene,GNAQ,HGNC:4390|ENSEMBL:ENSG00000156052|OMIM:600998,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:468,Gene,ATF4,HGNC:786|ENSEMBL:ENSG00000128272|OMIM:604064,NCBITaxon:9606,22,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6794,Gene,STK11,HGNC:11389|ENSEMBL:ENSG00000118046|OMIM:602216,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:59341,Gene,TRPV4,HGNC:18083|ENSEMBL:ENSG00000111199|OMIM:605427,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:56262,Gene,LRRC8A,HGNC:19027|ENSEMBL:ENSG00000136802|OMIM:608360,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2825,Gene,CMKLR2,HGNC:4463|ENSEMBL:ENSG00000183671|OMIM:600239,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
